Fiscal Year,Company Name,Company Address,Municipality,County 1,State,Zip Code,Business Industry,NAICS Code,Minority/ Woman/ Veteran/ International Export,Contract Execution Date,Grant Amount,Loan Amount,Total Assistance ,Total Project Cost,Amount Leveraged,Funding Source,Statutory Reference,Per Contract: Full-Time CT Jobs to be Retained,Per Contract: Full-Time CT Jobs to be Created,Per Contract: Part-Time CT Jobs to be Retained,Per Contract: Part-Time CT Jobs to be Created,Actual Jobs at Time of Review,Job Obligation Status,Penalty (if applicable),Forgiveness Earned (if applicable),Per Application: Existing Full-Time Jobs in CT,Per Application: Full-Time Jobs to be Created in CT,Per Application: Existing Part-Time Jobs in CT,Per Application: Part Time Jobs to be Created in CT,Full-Time CT Employment at 6/30/20,Part-Time CT Employment at 6/30/20,Status,Location 1,Count,Geocoded Location,Planning Regions,Counties,Zip Code 2,Town Index
2016,"Prometheus Research, LLC","55 Church Street, 7th Floor",New Haven,New Haven,CT,06510,Custom Software Services,541511,No,08/31/2015,100000.00,0.00,100000.00,529281.00,429281.00,Small Business Express Program,CGS Sec. 32-7g,26,5,0,0,24,Not Met,"$   22,582.00",n/a,26,5,0,0,21,0,Active,"55 Church Street, 7th Floor",1,"55 Church Street, 7th Floor
New Haven, CT 06510
(41.305147, -72.926439)",7,1044,133,93
2012,"Thomas Restaurant Group, LLC (TRG New Haven, Inc.)",11 Pond Edge Road,Westport,Fairfield,CT,06880,Food Service,722211,No,06/18/2012,100000.00,0.00,100000.00,376500.00,276500.00,Small Business Express Program,CGS Sec. 32-7g,2,11,0,0,3,Met,n/a,n/a,20,10,0,0,,,Active,11 Pond Edge Road,1,"11 Pond Edge Road
Westport, CT 06880
(41.116791, -73.348435)",9,1040,179,158
2015,Tomz Corporation,47 Episcopal Road,Berlin,Hartford,CT,06037,Manufacturing,332700,No,03/12/2015,0.00,711533.00,711533.00,2373533.00,1662000.00,Manufacturing Assistance Act,CH 588l,123,30,0,0,158,Met,n/a,"533,650",123,30,0,0,,,Active,47 Episcopal Road,1,"47 Episcopal Road
Berlin, CT 06037
(41.64238, -72.736073)",1,1041,253,7
2013,"Alzheimer's Disease & Related Disorders Association, Inc. (CT Chapter)","200 Executive Boulevard, Suite 4B",Southington,Hartford,CT,06489,Welfare Organization,624190,No,09/13/2012,27800.00,0.00,27800.00,100625.00,72825.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,20,Met,n/a,n/a,0,1,0,0,,,Compliance Complete,"200 Executive Boulevard, Suite 4B",1,,,,,
2014,"Len Conlin, Inc. - Inn at Fairfield Beach",205 South Montowese Road,Branford,New Haven,CT,06405,Restaurant,722110,,05/08/2014,50000.00,0.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,2,0,0,0,4,Met,n/a,n/a,0,2,0,0,,,Compliance Complete,205 South Montowese Road,1,"205 South Montowese Road
Branford, CT 06405
(41.261691, -72.800951)",7,1044,170,14
2018,Industrial Heater Corp.,30 Knotter Drive,Cheshire,New Haven,CT,06410,Manufacturing,333994,No,08/01/2017,0.00,543000.00,543000.00,1788000.00,1245000.00,Manufacturing Assistance Act,CH 588l,44,4,0,0,Pending,Pending,n/a,n/a,44,4,3,0,,,Active,30 Knotter Drive,1,"30 Knotter Drive
Cheshire, CT 06410
(41.55653, -72.914109)",4,1044,63,25
2014,"eBrevia, Inc.",175 Atlantic Street,Stamford,Fairfield,CT,06901,Enterprise Software,511210,No,02/28/2014,100000.00,0.00,100000.00,284960.00,184960.00,Small Business Express Program,CGS Sec. 32-7g,3,5,0,0,5,Not Met,"$37,500",n/a,3,0,0,0,,,Active,175 Atlantic Street,1,"175 Atlantic Street
Stamford, CT 06901
(41.052936, -73.539382)",9,1040,203,135
2012,"CPR Training Professionals, LLC",435 Buckland Road,South Windsor,Hartford,CT,06074,Service,911699,No,02/17/2012,0.00,100000.00,100000.00,100000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,-,-,0,0,n/a,n/a,n/a,n/a,0,2,0,0,4,19,Compliance Complete,435 Buckland Road,1,"435 Buckland Road
South Windsor, CT 06074
(41.822485, -72.552776)",1,1041,89,132
2016,"Bari Nuovo, LLC dba The Pet Hospital of Stratford",1185 Linden Avenue,Stratford,Fairfield,CT,06615,Pet Hospital,541940,Yes Woman/Minority,03/08/2016,15000.00,170000.00,185000.00,200000.00,15000.00,Small Business Express Program,CGS Sec. 32-7g,4,1,0,0,5,Met,n/a,n/a,4,1,0,0,,,Active,1185 Linden Avenue,1,"1185 Linden Avenue
Stratford, CT 06615
(41.192408, -73.133718)",2,1040,178,138
2015,"Joining Technologies, Inc.",17 Connecticut South Drive,East Granby,Hartford,CT,06026,Manufacturing,339999,No,10/23/2014,0.00,1085850.00,1085850.00,2171700.00,1085850.00,Manufacturing Assistance Act,CH 588l,64,17,,,Pending,Pending,n/a,n/a,64,17,0,0,63,1,Active,17 Connecticut South Drive,1,"17 Connecticut South Drive
East Granby, CT 06026
(41.929132, -72.714134)",1,1041,225,40
2019,The John Boyle Company,152 South Main Street,New Britain,Hartford,CT,06051,Paint and Decorating Wholesale Retail,444120,No,03/06/2019,,250000.00,250000.00,763000.00,513000.00,Small Business Express Program,CGS Sec. 32-7g,35,2,0,0,Pending,Pending,n/a,n/a,35,2,5,1,,,Active,152 South Main Street,1,"152 South Main Street
New Britain, CT 06051
(41.660071, -72.77877)",1,1041,17,89
2017,"Konopka Electric, LLC",14 Putter Lane,Torrington,Litchfield,CT,06790,Electrical Services,238210,No,03/16/2017,100000.00,0.00,100000.00,325000.00,225000.00,Small Business Express Program,CGS Sec. 32-7g,5,4,0,0,Pending,Pending,n/a,n/a,5,4,0,0,,,Active,14 Putter Lane,1,"14 Putter Lane
Torrington, CT 06790
(41.877999, -73.067052)",6,1042,122,143
2012,"New Britain Museum of American Art, Incorporated",56 Lexington Street,New Britain,Hartford,CT,06052,Entertainment,712110,No,02/23/2012,100000.00,0.00,100000.00,564300.00,464300.00,Small Business Express Program,CGS Sec. 32-7g,19,1,0,0,n/a,n/a,n/a,n/a,19,1,0,0,,,Compliance Complete,56 Lexington Street,1,"56 Lexington Street
New Britain, CT 06052
(41.664236, -72.792193)",1,1041,112,89
2016,"Wilcox Construction Company, Inc.",8A Middle River Drive,Stafford Springs,Tolland,CT,06076,"Site Excavation, Construction",237110,No,09/23/2015,47000.00,0.00,47000.00,94000.00,47000.00,Small Business Express Program,CGS Sec. 32-7g,6,3,0,0,8,Not Met,"$5,222",n/a,7,9,0,0,,,Active,8A Middle River Drive,1,"8A Middle River Drive
Stafford Springs, CT 06076
(41.966114, -72.322655)",1,38,34,134
2014,"The Health Consultants Group, LLC",40 Corporate Avenue,Plainville,Hartford,CT,06062,Insurance Services,524210,No,09/27/2013,40200.00,0.00,40200.00,80400.00,40200.00,Small Business Express Program,CGS Sec. 32-7g,22,2,0,0,22,Not Met,"$4,150",n/a,22,2,0,0,,,Compliance Complete,40 Corporate Avenue,1,"40 Corporate Avenue
Plainville, CT 06062
(41.690787, -72.859881)",1,1041,260,110
2013,"Onyx Spirits Company, LLC",64 D Oakwood Avenue,East Hartford,Hartford,CT,06010,Distilled Spirits,312130,No,08/29/2012,0.00,250000.00,250000.00,385000.00,135000.00,Small Business Express Program,CGS Sec. 32-7g,3,10,0,0,7,Not Met,Rate increase from 2% to 3%,n/a,7,0,0,0,,,Active,64 D Oakwood Avenue,1,"64 D Oakwood Avenue
East Hartford, CT 06010
(41.755645, -72.722183)",1,1041,251,155
2012,Factset Research Systems Inc.,45 Glover Ave. 7th Floor,Norwalk,Fairfield,CT,06850,Manufacturing,523991,No,04/13/2012,0.00,2000000.00,2000000.00,10000000.00,8000000.00,Manufacturing Assistance Act/URA Tax Credits,CH 588l,641,200,,,922,Met,n/a,"1,000,000",356,180,0,0,,,Active,45 Glover Ave. 7th Floor,1,"45 Glover Ave. 7th Floor
Norwalk, CT 06850
(41.144451, -73.428107)",9,1040,87,103
2013,"Children's Museum, Inc.",950 Trout Brook Drive,West Hartford,Hartford,CT,06119,Museum,712110,No,06/07/2013,61500.00,0.00,61500.00,123000.00,61500.00,Small Business Express Program,CGS Sec. 32-7g,12,2,0,0,20,Met,n/a,n/a,12,2,0,0,,,Compliance Complete,950 Trout Brook Drive,1,"950 Trout Brook Drive
West Hartford, CT 06119
(41.7618, -72.737928)",1,1041,251,155
2014,"Northeast PowerWashing, LLC",111 West Road,Marlborough,Hartford,CT,06447,Service/Power Washing,561790,No,05/19/2014,15000.00,20000.00,35000.00,50000.00,15000.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,2,Met,n/a,n/a,1,1,0,0,,,Active,111 West Road,1,"111 West Road
Marlborough, CT 06447
(41.661805, -72.474502)",1,1041,222,79
2013,"Supportive Housing Works, Inc.",387 Clinton Avenue,Bridgeport,Fairfield,CT,06605,Lessors of Residential Buildings and Dwellings,531110,No,09/07/2012,50000.00,0.00,50000.00,152255.00,102255.00,Small Business Express Program,CGS Sec. 32-7g,4,2,0,0,3,Not Met,"$3,000",n/a,4,2,0,0,,,Compliance Complete,387 Clinton Avenue,1,"387 Clinton Avenue
Bridgeport, CT 06605
(41.173331, -73.208473)",2,1040,214,15
2013,"Physique Plus Fitness Center, LLC",1303 Highland Avenue,Cheshire,New Haven,CT,06410,Fitness & Recreational Sports Centers,713940,No,09/07/2012,50000.00,0.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,6,2,0,0,8,Met,n/a,n/a,6,2,0,0,,,Active,1303 Highland Avenue,1,"1303 Highland Avenue
Cheshire, CT 06410
(41.534506, -72.894153)",4,1044,63,25
2015,"Delonti, Inc.",500 Bridge Street,Groton,New London,CT,06340,Information Technology,"541511, 541519",No,09/05/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,4,5,0,0,Pending,Pending,n/a,n/a,4,4,0,0,,,Compliance Complete,500 Bridge Street,1,"500 Bridge Street
Groton, CT 06340
(41.361288, -72.066764)",8,1045,243,59
2013,Corporate Wellness Inc.,1200 High Ridge Road,Stamford,Fairfield,CT,06905,Occupational Health,561490,No,04/03/2013,100000.00,0.00,100000.00,217252.00,117252.00,Small Business Express Program,CGS Sec. 32-7g,7,3,0,0,10,Met,n/a,n/a,8,3,0,0,,,Active,1200 High Ridge Road,1,"1200 High Ridge Road
Stamford, CT 06905
(41.109873, -73.547131)",9,1040,84,135
2019,"Comfort Therapeutics, LLC dba Westville Massage",141 West Elm Street,New Haven,New Haven,CT,06515,Wellness for Women,812199,Yes Woman,03/22/2019,34500.00,,34500.00,103500.00,69000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,Pending,Pending,n/a,n/a,0,7,1,4,,,Active,141 West Elm Street,1,"141 West Elm Street
New Haven, CT 06515
(41.322576, -72.963654)",7,1044,240,93
2017,"Qmarkets USA, Inc.",263 Tresser Boulevard,Stamford,Fairfield,CT,06901,Collective Intelligence Software,511210,No,04/25/2017,100000.00,300000.00,400000.00,807000.00,407000.00,Small Business Express Program,CGS Sec. 32-7g,0,4,0,0,Pending,Pending,n/a,n/a,0,4,0,0,,,Compliance Complete,263 Tresser Boulevard,1,"263 Tresser Boulevard
Stamford, CT 06901
(41.051883, -73.535036)",9,1040,203,135
2013,"Billings Forge Community Works, Inc.",140 Russ Street,Hartford,Hartford,CT,06106,Economic Development,624310/624110,No,04/25/2013,100000.00,0.00,100000.00,220380.00,120380.00,Small Business Express Program,CGS Sec. 32-7g,13,4,0,0,18,Met,n/a,n/a,13,4,0,0,,,Repaid,140 Russ Street,1,"140 Russ Street
Hartford, CT 06106
(41.761561, -72.687743)",1,1041,182,64
2013,"Index-d, LLC",285 Knowlton Street,Bridgeport,Fairfield,CT,06608,Hardware Merchant Wholesalers,421710,Yes Woman,08/27/2012,0.00,80000.00,80000.00,89500.00,9500.00,Small Business Express Program,CGS Sec. 32-7g,3,1,0,0,8,Met,n/a,n/a,3,1,0,0,,,Compliance Complete,285 Knowlton Street,1,"285 Knowlton Street
Bridgeport, CT 06608
(41.187786, -73.187912)",2,1040,2,15
2016,"Pirie Associates Architects, LLC","33 Whitney Avenue, Suite 2A",New Haven,New Haven,CT,06510,Architectural Services,541310,Yes Woman,12/11/2015,20000.00,0.00,20000.00,99280.00,79280.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,7,Met,n/a,n/a,6,1,0,0,,,Active,"33 Whitney Avenue, Suite 2A",1,"33 Whitney Avenue, Suite 2A
New Haven, CT 06510
(41.311351, -72.922312)",7,1044,275,93
2012,"HRF Fastener Systems, Inc.",70 Horizon Drive,Bristol,Hartford,CT,06010,Manufacturing,332312,No,05/08/2012,100000.00,250000.00,350000.00,467459.00,117459.00,Small Business Express Program,CGS Sec. 32-7g,14,5,0,0,28,Met,n/a,"$50,000.00",14,10,0,0,,,Compliance Complete,70 Horizon Drive,1,"70 Horizon Drive
Bristol, CT 06010
(41.651121, -72.912911)",4,1041,219,17
2010,"Conopco, Inc.",45 Merritt Boulevard,Trumbull,Fairfield,CT,06611,Manufacturing,325611,No,05/20/2010,0.00,3000000.00,3000000.00,6300000.00,3300000.00,Manufacturing Assistance Act,CH 588l,776,0,,,900,Met,n/a,"1,500,000",unavailable,unavailable,unavailable,unavailable,,,Active,45 Merritt Boulevard,1,"45 Merritt Boulevard
Trumbull, CT 06611
(41.242671, -73.147521)",2,1040,76,144
2013,"West Hartford Fence Company, LLC",87 Custer Street,West Hartford,Hartford,CT,06110,Residential Remodelers,236118,No,06/14/2013,50000.00,75000.00,125000.00,175000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,4,3,0,0,8,Met,n/a,n/a,4,3,0,0,,,Compliance Complete,87 Custer Street,1,"87 Custer Street
West Hartford, CT 06110
(41.72409, -72.721528)",1,1041,213,155
2013,"Med- IQ, Inc. f/k/a Medical Risk Management, LLC","21 Oak Street, Suite 310",Hartford,Hartford,CT,06106,Manufacturing,541614,No,05/08/2013,80000.00,300000.00,380000.00,460000.00,80000.00,Manufacturing Assistance Act,CH 588l,13,4,,,23,Met,n/a,n/a,13,4,0,0,,,Active,"21 Oak Street, Suite 310",1,"21 Oak Street, Suite 310
Hartford, CT 06106
(41.762179, -72.684215)",1,1041,182,64
2014,"ReadyDock, Inc.",10 Grassmere Avenue,West Hartford,Hartford,CT,06110,Computer Peripheral Equipment Mfg,334119,No,11/19/2013,50000.00,150000.00,200000.00,250000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,3,3,0,0,5,Not Met,from 2% to 3%,n/a,2,7,0,0,,,Active,10 Grassmere Avenue,1,"10 Grassmere Avenue
West Hartford, CT 06110
(41.73693, -72.725164)",1,1041,213,155
2014,"Onyx Spirits Company, LLC",64 D Oakwood Avenue,East Hartford,Hartford,CT,06010,Distilled Spirits,312130,No,11/18/2013,0.00,50000.00,50000.00,58865.00,8865.00,Small Business Express Program,CGS Sec. 32-7g,3,10,0,0,7,Not Met,from 1% to 2%,n/a,7,0,0,0,,,Active,64 D Oakwood Avenue,1,"64 D Oakwood Avenue
East Hartford, CT 06010
(41.755645, -72.722183)",1,1041,251,155
2017,"Just Cakes, LLC dba Jcakes",2031 Foxon Road,North Branford,New,CT,06471,Bakery,311812,Yes Woman/Minority,11/23/2016,35053.00,0.00,35053.00,97006.00,61953.00,Small Business Express Program,CGS Sec. 32-7g,4,2,0,0,Pending,Pending,n/a,n/a,4,2,0,0,,,Active,2031 Foxon Road,1,"2031 Foxon Road
North Branford, CT 06471
(41.334265, -72.757628)",7,1044,131,99
2013,"Miranda Creative, Inc.",18 Elm Street,Norwich,New London,CT,06360,Graphic Design Service,541430,No,10/22/2012,60000.00,0.00,60000.00,120000.00,60000.00,Small Business Express Program,CGS Sec. 32-7g,11,3,0,0,13,Not Met,"$1,000",n/a,11,3,0,0,,,Active,18 Elm Street,1,"18 Elm Street
Norwich, CT 06360
(41.35504, -71.974803)",8,1045,135,59
2012,"Outbound, Inc.",167 Cherry Street,Milford,New Haven,CT,06460,Retail,448120,No,06/12/2012,0.00,250000.00,250000.00,479100.00,229100.00,Small Business Express Program,CGS Sec. 32-7g,,10,0,0,3,Not Met,Loan repaid,n/a,3,10,0,0,,,Active,167 Cherry Street,1,"167 Cherry Street
Milford, CT 06460
(41.228868, -73.049455)",7,1044,193,84
2013,"Good Neighbor Insurance, LLC",871 Newfield Street,Middletown,Middlesex,CT,06457,Insurance Agency,524210,No,01/08/2013,30000.00,70000.00,100000.00,142000.00,42000.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,1,Met,n/a,n/a,0,1,0,0,,,Compliance Complete,871 Newfield Street,1,"871 Newfield Street
Middletown, CT 06457
(41.582878, -72.673095)",3,1043,236,83
2015,"Sperry Rail, Inc. dba Sperry Rail Service",46 Shelter Rock Road,Danbury,Fairfield,CT,06810,Support Activities For Rail Transportation,488210,No,10/27/2014,100000.00,300000.00,400000.00,1800000.00,1400000.00,Small Business Express Program,CGS Sec. 32-7g,55,11,0,0,Pending,Pending,n/a,n/a,55,11,0,0,,,Active,46 Shelter Rock Road,1,"46 Shelter Rock Road
Danbury, CT 06810
(41.390312, -73.428993)",9,1040,1,34
2012,Greater Bristol Chamber of Commerce dba Central CT Chambers of Commerce,200 Main Street,Bristol,Hartford,CT,06010,Manufacturing,813910,No,06/12/2012,40000.00,0.00,40000.00,80000.00,40000.00,Manufacturing Assistance Act,CH 588l,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,Active,200 Main Street,1,"200 Main Street
Bristol, CT 06010
(41.672247, -72.942788)",4,1041,219,17
2020,"CoreTemp Abrasives, LLC",150 C Production Court,New Britain,Hartford,CT,06051,Wholesale/Assembly Fabrication,423830,No,08/05/2019,0.00,150000.00,150000.00,153000.00,3000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,Pending,Pending,n/a,n/a,,,,,1,0,Active,150 C Production Court,1,"150 C Production Court
New Britain, CT 06051
(41.66571, -72.757582)",1,1041,17,89
2016,"General Machine Company, Inc.",1223 Mount Vernon Road,Southington,Hartford,CT,06489,Precision Machine Shop,332721/332710,Yes Woman,09/16/2015,65004.00,0.00,65004.00,130008.00,65004.00,Small Business Express Program,CGS Sec. 32-7g,8,3,0,0,Pending,Pending,n/a,n/a,8,3,0,0,,,Active,1223 Mount Vernon Road,1,"1223 Mount Vernon Road
Southington, CT 06489
(41.604387, -72.925398)",1,1041,176,131
2014,"Avalon Advanced Technologies and Repair, Inc.",59 Newberry Road,East Windsor,Hartford,CT,06088,Manufacturing-Engine Parts - Aircraft,336412,No,12/23/2013,100000.00,0.00,100000.00,445000.00,345000.00,Small Business Express Program,CGS Sec. 32-7g,12,6,0,0,26,Met,OOB,OOB,22,6,0,0,,,Out of Business- written off,59 Newberry Road,1,"59 Newberry Road
East Windsor, CT 06088
(41.91966, -72.599838)",1,1041,20,47
2018,"All Our Kin, Inc.","414A Chapel Street, #100",New Haven,New Haven,CT,06530,Nonprofit Organization,624410,Yes Woman,06/19/2018,62546.00,,62546.00,125546.00,63000.00,Small Business Express Program,CGS Sec. 32-7g,23,3,0,0,Pending,Pending,n/a,n/a,23,3,7,0,58,5,Active,"414A Chapel Street, #100",1,"414A Chapel Street, #100
New Haven, CT 06530
(41.303541, -72.911249)",7,1044,275,93
2017,"Black Business Alliance, Inc.",760 Chapel Street,New Haven,New Haven,CT,06510,Professional Organization,813920,Yes Minority,06/23/2017,300000.00,0.00,300000.00,300000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,80,40,40,,,Active,760 Chapel Street,1,"760 Chapel Street
New Haven, CT 06510
(41.30502, -72.923351)",7,1044,133,93
2016,"Axel Plastics Research Laboratories, Inc.",50 Cambridge Drive,Monroe,Fairfield,CT,06468,Manufacturing,325199,No,11/24/2015,0.00,500000.00,500000.00,7055000.00,6555000.00,Manufacturing Assistance Act,CH 588l,0,35,0,0,36,Met,n/a,"350,000",0,40,0,0,,,Active,50 Cambridge Drive,1,"50 Cambridge Drive
Monroe, CT 06468
(41.348507, -73.251507)",2,1040,3,85
2018,"Woodbridge Group, LLC","1764 Litchfield Turnpike, #250",Woodbridge,New Haven,CT,06525,Financial Services,541990,No,05/15/2018,50000.00,,50000.00,409350.00,359350.00,Small Business Express Program,CGS Sec. 32-7g,14,5,0,0,Pending,Pending,n/a,,14,5,0,0,,,Active,"1764 Litchfield Turnpike, #250",1,"1764 Litchfield Turnpike, #250
Woodbridge, CT 06525
(41.346537, -72.981089)",7,1044,61,167
2017,SoNo Academy,84 North Main Street,Norwalk,Fairfield,CT,06854,Cosmetology School,611551,Yes Woman,11/23/2016,60000.00,240000.00,300000.00,480000.00,180000.00,Small Business Express Program,CGS Sec. 32-7g,2,6,0,0,Pending,Pending,n/a,n/a,2,6,2,0,,,Active,84 North Main Street,1,"84 North Main Street
Norwalk, CT 06854
(41.101217, -73.419777)",9,1040,155,103
2013,"The Original Curb People, LLC",25 Mallane Lane,Naugatuck,New Haven,CT,06770,Poured Concrete Foundation & Structure Contractors,238110,No,08/30/2012,50000.00,100000.00,150000.00,200000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,3,2,0,0,7,Met,n/a,n/a,3,2,0,0,,,Compliance Complete,25 Mallane Lane,1,"25 Mallane Lane
Naugatuck, CT 06770
(41.509071, -73.055568)",4,1044,169,88
2013,"Roadwerx, Inc.",60 Research Drive,Milford,New Haven,CT,06460,Display Shows,713900,No,12/12/2012,0.00,200000.00,200000.00,359779.00,159779.00,Small Business Express Program,CGS Sec. 32-7g,10,3,0,0,13,Met,n/a,"$   30,000",10,3,0,0,10,0,Active,60 Research Drive,1,"60 Research Drive
Milford, CT 06460
(41.239237, -73.018111)",7,1044,193,84
2014,"Metrocrops, LLC",269 Silvermine Avenue,Norwalk,Fairfield,CT,06850,Agricultural,111419,No,03/11/2014,50000.00,200000.00,250000.00,616880.00,366880.00,Small Business Express Program,CGS Sec. 32-7g,0,4,0,0,4,Met,"$12,500 and 2% to 3%",n/a,0,4,0,0,,,Compliance Complete,269 Silvermine Avenue,1,"269 Silvermine Avenue
Norwalk, CT 06850
(41.147019, -73.445108)",9,1040,204,103
2014,"Sidin Holdings, LLC dba Econolodge Southington",P. O. Box 803,Milldale,New Haven,CT,06467,Hotel,721110,No,06/03/2014,40000.00,251000.00,291000.00,331000.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,5,4,0,0,7,Not Met,"$1,500",n/a,5,4,0,0,,,Active,P. O. Box 803,1,,,,,
2021,"Sea Research Foundation, Inc., d/b/a Mystic Aquarium",55 Coogan Boulevard,Mystic,New London,CT,06355,Other,712130,No,08/27/2020,0.00,7000000.00,7000000.00,15500000.00,8500000.00,Manufacturing Assistance Act,CH 588l,108,0,0,0,Pending,Pending,n/a,n/a,108,0,55,0,,,Active,55 Coogan Boulevard,1,"55 Coogan Boulevard
Mystic, CT 06355
(41.372631, -71.951268)",8,1045,135,137
2015,R & R Pallet Corporation,120 Schoolhouse Road,Cheshire,New Haven,CT,06410,Wood Container & Pallet Manufacturing,321920,No,07/15/2014,60000.00,100000.00,160000.00,220000.00,60000.00,Small Business Express Program,CGS Sec. 32-7g,19,1,0,0,25,Met,n/a,n/a,20,4,0,0,,,Active,120 Schoolhouse Road,1,"120 Schoolhouse Road
Cheshire, CT 06410
(41.544876, -72.895282)",4,1044,63,25
2013,"Numet Machining Techniques, Inc.",60 Old South Avenue,Stratford,Fairfield,CT,06615,Aerospace Parts Manufacturer,336412,No,07/19/2012,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,,30,0,0,61,Met,n/a,n/a,29,39,0,0,,,Active,60 Old South Avenue,1,"60 Old South Avenue
Stratford, CT 06615
(41.169355, -73.138797)",2,1040,178,138
2019,"CK Property Services, LLC dba A Path to Discovery",707 Enfield Street,Enfield,Hartford,CT,06082,Child Care/Daycare,511199,Yes Woman,03/13/2019,40000.00,300000.00,340000.00,380000.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,5,5,0,0,Pending,Pending,n/a,n/a,3,5,0,0,,,Active,707 Enfield Street,1,"707 Enfield Street
Enfield, CT 06082
(42.003916, -72.592699)",1,1041,108,49
2018,"Quisenberry Arcari Architects, LLC",195 Scott Swamp Road,Farmington,Hartford,CT,06032,Architectural Services,541310,Yes Minority,09/19/2017,100000.00,200000.00,300000.00,600000.00,300000.00,Small Business Express Program,CGS Sec. 32-7g,23,5,0,0,Pending,Pending,n/a,n/a,23,4,2,0,,,Compliance Complete,195 Scott Swamp Road,1,"195 Scott Swamp Road
Farmington, CT 06032
(41.705048, -72.867165)",1,1041,254,52
2021,"BioHaven Pharmaceuticals, Inc.","234 Church Street, 15th Floor",New Haven,New Haven,CT,06510,Bioscience/Pharmaceuticals,541714,No,03/30/2021,0.00,1220000.00,1220000.00,5165600.00,3945600.00,Manufacturing Assistance Act,CH 588l,38,35,0,0,Pending,Pending,n/a,n/a,38,35,2,0,,,Active,"234 Church Street, 15th Floor",1,"234 Church Street, 15th Floor
New Haven, CT 06510
(41.309345, -72.923345)",7,1044,275,93
2013,"Post Road Stages, Inc.",1105 Strong Road,South Windsor,Hartford,CT,06074,Charter Bus Industry,485510,No,09/20/2012,100000.00,250000.00,350000.00,972217.00,622217.00,Small Business Express Program,CGS Sec. 32-7g,19,4,0,0,20,Not Met,Rate increase from 3% to 4%,n/a,8,1,0,0,,,Active,1105 Strong Road,1,"1105 Strong Road
South Windsor, CT 06074
(41.83677, -72.563197)",1,1041,89,132
2015,"Utitec, Inc.",169 Callender Road,Watertown,Litchfield,CT,06795,Manufacturing,339993,Yes Woman/Minority,02/19/2015,100000.00,300000.00,400000.00,1634500.00,1234500.00,Small Business Express Program,CGS Sec. 32-7g,52,21,0,0,Pending,Pending,n/a,n/a,52,21,0,0,,,Compliance Complete,169 Callender Road,1,"169 Callender Road
Watertown, CT 06795
(41.613886, -73.088453)",4,1042,269,153
2017,Tim Briere dba Shelby Supply Company,435 Old Stafford Road,Tolland,Tolland,CT,06084,Machining & Fabricating Services,333517/423800,No,09/27/2016,80000.00,165654.00,245654.00,347178.00,101524.00,Small Business Express Program,CGS Sec. 32-7g,3,5,0,0,Pending,Pending,n/a,n/a,3,5,0,0,,,Compliance Complete,435 Old Stafford Road,1,"435 Old Stafford Road
Tolland, CT 06084
(41.900056, -72.352734)",1,38,255,142
2015,"James A. Gallow, Jr. dba Gallow Oil Stone Company/dba Gallow Construction","62 South Cady Lane, P.O. Box 266",Plainfield,Middlesex,CT,06332,"Highway, Street and Bridge Construction",237310,No,05/04/2015,0.00,300000.00,300000.00,300000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,Pending,Pending,n/a,n/a,2,1,0,0,,,Active,"62 South Cady Lane, P.O. Box 266",1,"62 South Cady Lane, P.O. Box 266
Plainfield, CT 06332
(41.721694, -71.92097)",5,39,36,109
2015,"C-Tec Solar, LLC",28 Pinnacle Mountain Road,Simsbury,Hartford,CT,06070,Green Energy/Solar Installation,221114,Yes Veteran,07/21/2014,100000.00,0.00,100000.00,203000.00,103000.00,Small Business Express Program,CGS Sec. 32-7g,21,5,0,0,29,Met,n/a,n/a,21,5,0,0,,,Active,28 Pinnacle Mountain Road,1,"28 Pinnacle Mountain Road
Simsbury, CT 06070
(41.872231, -72.783732)",1,1041,18,128
