Company Name,County,City,Status,Program,Primary Funding Agreement,Award Date,Total Project Cost,Capital Investment,Direct Assistance Awarded,Tax Benefits Awarded,Projected Jobs - Created,Projected Jobs - Retained,Projected Jobs - Other,Projected Jobs - Total,Projected Qualifying Wage,Contracted Jobs - Created,Contracted Jobs - Retained,Contracted Jobs - Other Created,Contracted Jobs - Total,Contracted Qualifying Wage,Verified Total Project Cost,Project Completion Date,Final Jobs - Created,Final Jobs - Retained,Final Jobs - Other Created,Final Jobs - Total,Project Maintenance Date,City Coordinates
"Shelby County Cookers, LLC",Shelby,Harlan,Closed Contracts - Successful,Enterprise Zone,04-EZ-020,06/24/2004,14355225,11269750,530000,1513486,204,0,0,204,8.69,189,0,0,189,8.69,16808325.00,06/30/2008,189,0,0,189,06/30/2018,POINT (-95.325555 41.645668)
CJ Bio America Inc.,Webster,Fort Dodge,Closed Contracts - Successful,130% Component,12-130-014,10/20/2011,327627000,291337000,1800000,7711000,180,0,0,180,20.13,158,0,9,167,20.13,327108848.00,10/31/2014,158,0,9,167,10/31/2016,POINT (-94.169388 42.501169)
"KLR Mold and Machining, Inc.",Poweshiek,Brooklyn,Closed Contracts - Full,Economic Development Set-Aside,06-ED-011,08/16/2006,494600,375000,39600,0,10,0,2,12,14.30,10,0,2,12,14.30,0.00,08/31/2009,0,0,0,0,08/31/2011,POINT (-92.44547 41.733581)
"Link Snacks, Inc.",Pottawattamie,Underwood,Closed Contracts - Successful,130% Component,12-130-010,10/20/2011,9382931,9382931,40000,382526,6,0,125,131,18.81,6,0,125,131,18.81,9578118.00,10/31/2014,6,0,125,131,10/31/2016,POINT (-95.679101 41.387117)
Sysco Iowa,Polk,Ankeny,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-015,11/18/2010,4778000,4730000,0,152130,0,0,0,0,23.20,0,0,0,0,23.20,4497287.00,11/30/2013,0,0,0,0,11/30/2015,POINT (-93.600414 41.72508)
"Appcore, LLC",Polk,Des Moines,Closed Contracts - Successful,Entrepreneurial Component,12-EC-004,10/20/2011,430220,430220,100000,0,0,0,0,0,0.00,0,0,0,0,20.92,485334.00,10/31/2014,0,0,0,0,10/31/2016,POINT (-93.620309 41.588822)
"Weiler, Inc.",Marion,Knoxville,Closed Contracts - Successful,High Quality Jobs Program,15-HQJDF-051,04/17/2015,9155000,6590000,600000,400000,106,0,0,106,18.95,106,0,0,106,18.95,10571726.00,04/30/2018,106,0,0,106,04/30/2020,POINT (-93.109494 41.320727)
"Aveka, Inc.",Allamakee,Waukon,Closed Contracts - Successful,Value-Added Agriculture Component,11-VAAC-014,06/16/2011,4594850,3794850,400000,0,0,0,0,0,0.00,0,0,0,0,0.00,4998651.00,06/30/2014,0,0,0,0,06/30/2016,POINT (-91.475596 43.269266)
Harper Brush Works,Jefferson,Fairfield,Bankruptcy,130% Component,12-130-006,09/15/2011,760000,30000,160000,0,2,20,23,45,18.73,2,20,23,45,18.73,0.00,09/30/2014,0,0,0,0,09/30/2016,POINT (-91.965049 41.006634)
"Rembrandt Enterprises, Inc.",Dickinson,Spirit Lake,Closed Contracts - Successful,High Quality Jobs Program,14-HQJDF-005,09/20/2013,2423528,1400000,210000,130676,14,40,8,62,15.21,14,0,8,22,15.21,4432865.00,09/30/2016,14,0,8,22,09/30/2018,POINT (-95.102261 43.422624)
"Black Cat Blades, LLC",Clinton,DeWitt,Closed Contracts - Partial,High Quality Jobs Program,13-HQJDF-006,08/17/2012,3660000,3605000,250000,329500,50,0,0,50,14.36,19,0,0,19,14.36,3555886.00,12/31/2016,19,0,0,19,12/31/2018,POINT (-90.548027 41.824275)
"Golden Grain Energy, LLC",Cerro Gordo,Mason City,Closed Contracts - Successful,Enterprise Zone,06-EZ-022,01/19/2006,45153805,38893805,0,1830668,10,0,0,10,11.80,10,0,0,10,11.80,121700211.00,01/31/2009,10,0,0,10,01/31/2019,POINT (-93.201042 43.153621)
Nestle Purina PetCare Company,Clinton,Clinton,Closed Contracts - Successful,Enterprise Zone,06-EZ-023,02/16/2006,20934500,20686000,0,1000000,10,0,0,10,11.60,10,0,0,10,11.60,22966537.00,02/28/2009,10,0,0,10,02/28/2019,POINT (-90.190747 41.838935)
"Curwood, Inc.",Polk,Des Moines,Closed Contracts - Successful,130% Component,12-130-024,03/26/2012,24300000,24300000,64000,1265625,16,0,0,16,23.75,16,0,0,16,23.75,25324970.00,03/31/2015,16,0,0,16,03/31/2017,POINT (-93.620309 41.588822)
"VeraSun Hartley, LLC",O'Brien,Hartley,Closed Contracts - Successful,Enterprise Zone,07-EZ-016,10/19/2006,142033763,134650000,0,9263500,51,0,0,51,9.95,51,0,0,51,9.95,202138723.00,10/31/2009,51,0,0,51,10/31/2019,POINT (-95.476939 43.184817)
"East Iowa Machine Company, Inc. (EIMco, Inc.)",Dubuque,Farley,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-057,06/22/2012,3950000,3950000,0,188000,11,0,0,11,20.52,11,0,0,11,20.52,4867300.00,06/30/2015,11,0,0,11,06/30/2017,POINT (-91.006179 42.442761)
North American Co-Pack Iowa LLC,Plymouth,LeMars,Closed Contracts - Full,Value-Added Agriculture Component,11-VAAC-004,09/16/2010,1700000,1315000,255000,51400,13,0,41,54,20.42,13,0,41,54,20.42,0.00,09/30/2013,0,0,0,0,09/30/2015,POINT (-96.173749 42.788178)
CF Industries Nitrogen,Woodbury,Sergeant Bluff,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-019,11/01/2012,1700000000,1690000000,1500000,31000000,100,0,0,100,20.12,100,0,0,100,20.12,2909664273.00,11/30/2016,100,0,0,100,11/30/2018,POINT (-96.363068 42.400299)
Safe Soy LLC,Marion,Hamilton,Closed Contracts - Full,Value-added Agricultural Products and Process Financial Assistance Program,05-VAP-008,03/09/2005,2860000,2810000,250000,0,10,0,0,10,0.00,10,0,0,10,0.00,0.00,03/09/2009,0,0,0,0,03/31/2011,POINT (-92.904962 41.170347)
"Digga North America, LLC",Dubuque,Dyersville,Closed Contracts - Partial,130% Component,12-130-025,03/26/2012,3750000,2250000,240000,151500,30,0,0,30,19.51,30,0,0,30,19.51,3823249.00,06/30/2017,12,0,3,15,06/30/2019,POINT (-91.121531 42.484597)
Alfagomma America,Des Moines,Burlington,Closed Contracts - Successful,Enterprise Zone,13-EZ-006,10/19/2012,1362000,1362000,0,132200,14,0,0,14,13.68,14,0,0,14,13.68,1549070.00,10/31/2015,14,0,0,14,10/31/2017,POINT (-91.101278 40.81059)
Alter Trading Corporation,Pottawattamie,Council Bluffs,Closed Contracts - Full,Enterprise Zone,13-EZ-011,03/22/2013,20313544,20313544,0,887000,15,0,0,15,13.91,15,0,0,15,13.91,0.00,03/31/2016,0,0,0,0,03/31/2018,POINT (-95.85436 41.258963)
HNI Corporation,Muscatine,Muscatine,Closed Contracts - Successful,Enterprise Zone,05-EZ-032,05/11/2005,5535000,4065000,0,4623605,10,0,0,10,13.27,10,0,0,10,13.27,6099119.00,05/11/2008,10,0,0,10,05/11/2018,POINT (-91.044853 41.420448)
"Fusion Entertainment, Inc. d/b/a Fusion Communications, Inc.",Scott,Davenport,Closed Contracts - Full,Community Economic Betterment Account,07-CEBA-014,10/19/2006,4087500,3805000,300000,164500,16,0,0,16,20.65,0,0,16,16,20.65,0.00,10/31/2009,0,0,0,0,10/31/2011,POINT (-90.577036 41.523527)
"Sedgwick Claims Management Services, Inc.",Jackson,Bellevue,Closed Contracts - Successful,Enterprise Zone,11-EZ-005,08/19/2010,1542486,1539535,129100,43485,44,0,0,44,12.86,38,0,0,38,12.86,1697075.00,03/31/2016,38,0,0,38,03/31/2018,POINT (-90.423079 42.25871)
"Hardi North America, Inc.",Scott,Davenport,Closed Contracts - Full,High Quality Jobs Program,12-HQJP-011,08/18/2011,3664558,3654558,0,101445,1,0,17,18,22.54,1,0,17,18,22.54,4169782.00,08/31/2014,0,0,0,0,08/31/2016,POINT (-90.577036 41.523527)
"Jacobson Warehouse Company, Inc.",Polk,Clive,Closed Contracts - Partial,High Quality Jobs Program,14-HQJDF-002,09/20/2013,2300000,2200000,250000,0,10,98,0,108,24.32,10,98,0,108,24.32,2458072.00,09/30/2016,0,88,0,88,09/30/2018,POINT (-93.774947 41.607094)
"Genencor International, Inc.",Linn,Cedar Rapids,Closed Contracts - Successful,Enterprise Zone,06-EZ-010,10/20/2005,35155725,35000000,750000,3575000,17,0,0,17,13.07,17,0,0,17,13.07,50412393.00,10/31/2008,17,0,0,0,10/31/2018,POINT (-91.669808 41.978122)
Lely USA Inc,Marion,Pella,Closed Contracts - Successful,130% Component,11-130-013,11/18/2010,2500000,375000,670000,18500,18,2,12,32,21.83,18,2,12,32,21.83,2209561.00,11/30/2014,18,2,12,32,11/30/2016,POINT (-92.916445 41.408107)
Pohaku Inc,Washington,Washington,Closed Contracts - Full,Entrepreneurial Ventures Assistance Financial Assistance,04-EVAFA-022,02/19/2004,1520000,910000,100000,0,10,0,0,10,0.00,10,0,0,10,0.00,0.00,02/28/2007,0,0,0,0,02/27/2009,POINT (-91.691723 41.296469)
"J&J Solutions, Inc.",Johnson,Coralville,Closed Contracts - Full,Entrepreneurial Component,11-EC-001,07/15/2010,800500,0,275000,0,17,3,0,20,15.69,15,3,2,20,15.69,0.00,07/31/2017,0,0,0,0,07/31/2019,POINT (-91.577768 41.672677)
Iowa Fertilizer Company LLC,Lee,Wever,Closed Contracts - Successful,130% Component,12-130-021,02/17/2012,1750000000,1300000000,1610000,107500000,159,0,6,165,20.82,165,0,15,180,20.82,2090185720.00,06/30/2016,165,0,15,180,06/30/2018,POINT (-91.234058 40.710379)
"Compacker, Inc.",Scott,Davenport,Closed Contracts - Full,130% Component,10-130-002,07/16/2009,1015000,929000,175000,46250,35,0,3,38,22.02,35,0,3,38,22.02,0.00,07/31/2013,0,0,0,0,07/31/2015,POINT (-90.577036 41.523527)
Union Tank Car Company,Muscatine,Muscatine,Closed Contracts - Partial,High Quality Jobs Program,15-HQJDF-050,03/27/2015,1905000,1905000,80000,0,10,20,0,30,17.06,10,20,0,30,17.06,2022604.00,03/31/2018,0,17,0,17,03/31/2020,POINT (-91.044853 41.420448)
"Grain Millers, Inc.",Mitchell,Saint Ansgar,Closed Contracts - Successful,Enterprise Zone,13-EZ-007,11/16/2012,23900000,21900000,0,550000,10,0,0,10,13.44,10,0,0,10,13.44,24627729.00,11/30/2015,10,0,0,10,11/30/2017,POINT (-92.919105 43.378505)
Bachman Tool & Die Co.,Buchanan,Independence,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-026,02/17/2011,3735000,750000,0,164250,3,0,0,3,17.02,3,0,0,3,17.02,3969513.00,02/28/2014,3,0,0,3,02/29/2016,POINT (-91.891754 42.467626)
"Cozzini, LLC",Kossuth,Algona,Closed Contracts - Partial,130% Component,12-130-031,05/18/2012,3122254,2427000,350000,267027,20,35,0,55,19.10,20,35,0,55,19.10,3645576.00,05/31/2015,17,35,0,52,05/31/2017,POINT (-94.233015 43.069871)
Zinpro Corporation,Butler,Shell Rock,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-030,01/18/2013,21136600,21136600,320000,85000,20,0,0,20,18.36,20,0,0,20,18.36,32378718.00,01/31/2016,20,0,0,20,01/31/2018,POINT (-92.583205 42.710068)
HNI Corporation,Muscatine,Muscatine,Closed Contracts - Successful,Enterprise Zone,13-EZ-004,09/21/2012,20860000,20160000,0,293400,10,0,0,10,14.31,10,0,0,10,14.31,46810516.00,09/30/2016,10,0,0,10,09/30/2018,POINT (-91.044853 41.420448)
Intermec Technologies Corporation,Linn,Cedar Rapids,Closed Contracts - Successful,130% Component,12-130-001,07/21/2011,56696500,14087500,1500000,1606395,0,224,0,224,21.80,0,113,0,113,21.80,92370611.00,07/31/2014,113,0,0,113,07/31/2016,POINT (-91.669808 41.978122)
"Cedar Ridge Vineyards, LLC",Johnson,Swisher,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-037,05/16/2014,1100000,1000000,0,40700,1,0,0,1,21.71,1,0,0,1,21.71,1823294.00,05/31/2017,1,0,0,1,05/31/2019,POINT (-91.693021 41.847543)
Pinnacle Foods Group LLC,Lee,Fort Madison,Closed Contracts - Successful,Enterprise Zone,11-EZ-015,12/16/2010,18586000,18586000,0,1993600,10,431,55,496,14.07,10,431,55,496,14.07,20956000.00,12/31/2013,10,431,55,496,12/31/2015,POINT (-91.313494 40.630024)
Merchants Bonding Company (Mutual),Dallas,West Des Moines,Closed Contracts - Successful,High Quality Jobs Program,15-HQJTC-011,09/19/2014,15771923,14615153,0,585072,1,0,10,11,25.52,1,0,10,11,25.52,16474703.00,09/30/2017,1,0,10,11,09/30/2019,POINT (-93.713031 41.575505)
"Vision-1, LLC",Story,Huxley,Closed Contracts - Full,Entrepreneurial Component,11-EC-005,11/18/2010,85000,0,50000,0,0,0,0,0,0.00,0,0,0,0,0.00,85000.00,11/30/2013,0,0,0,0,11/30/2015,POINT (-93.600561 41.894263)
"The New Monroe Table Company, LLC",Jasper,Colfax,Closed Contracts - Full,Community Economic Betterment Account,09-CEBA-017,02/19/2009,547000,537000,50000,0,16,0,13,29,13.97,16,0,13,29,13.97,0.00,02/28/2012,0,0,0,0,02/28/2014,POINT (-93.240401 41.673299)
JRS Pharma LP,Linn,Cedar Rapids,Closed Contracts - Successful,Enterprise Zone,07-EZ-001,07/20/2006,15097025,15000000,0,575000,10,0,0,10,13.40,0,0,10,10,13.40,20855870.00,07/31/2009,10,0,0,10,07/31/2019,POINT (-91.669808 41.978122)
Alter Trading Corporation - Alter Metal Recycling,Scott,Davenport,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-039,05/19/2011,14500000,14500000,0,411418,1,1,2,4,22.07,1,1,2,4,22.07,14810072.00,05/31/2014,1,1,0,2,05/31/2016,POINT (-90.577036 41.523527)
"TriState Quality Metals, LLC",Dubuque,Dubuque,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-008,10/18/2013,3780000,3730000,0,146400,1,0,9,10,19.73,1,0,9,10,19.73,4660690.00,10/31/2016,1,0,9,10,10/31/2018,POINT (-90.667314 42.505512)
"Menard, Inc.",Shelby,Shelby,Closed Contracts - Successful,Enterprise Zone,11-EZ-032,05/19/2011,11268832,10918832,0,1116370,28,0,20,48,12.34,26,0,22,48,12.34,16538872.00,05/31/2014,26,0,22,48,05/31/2016,POINT (-95.449684 41.517114)
"Exemplar Genetics, LLC",Sioux,Sioux Center,Closed Contracts - Partial,Value-Added Agriculture Component,12-VAAC-008,12/16/2011,1797000,1797000,300000,114400,12,2,4,18,0.00,0,0,0,0,20.92,359125.00,12/31/2015,0,0,0,0,12/31/2017,POINT (-96.175468 43.075969)
"Loffredo Gardens, Inc. dba Loffredo Fresh Produce Co., Inc.",Warren,Norwalk,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-019,01/17/2014,7139000,7139000,0,401670,6,0,0,6,19.58,6,0,0,6,19.58,8366922.00,01/31/2017,6,0,0,6,01/31/2019,POINT (-93.674074 41.497011)
"Warren Distribution, Inc.",Pottawattamie,Council Bluffs,Closed Contracts - Successful,130% Component,11-130-026,03/17/2011,6430401,5275401,100000,630024,2,9,0,11,18.56,2,9,0,11,18.56,7382020.00,03/31/2014,2,9,0,11,03/31/2016,POINT (-95.85436 41.258963)
Danisco US,Linn,Cedar Rapids,Closed Contracts - Successful,Enterprise Zone,11-EZ-009,10/21/2010,38700000,37926000,500000,3309620,13,25,0,38,21.80,13,25,0,38,21.80,35952878.00,10/31/2013,13,25,0,38,10/31/2015,POINT (-91.669808 41.978122)
Frontier Natural Products Co-op,Benton,Norway,Closed Contracts - Successful,High Quality Jobs Program,16-HQJDF-003,07/17/2015,8651500,8433500,82500,390360,11,0,12,23,19.54,11,0,12,23,19.54,7274595.00,07/31/2018,11,0,12,23,07/31/2020,POINT (-91.919516 41.902886)
"Mobile Track Solutions, LLC",Clayton,Elkader,Closed Contracts - Successful,130% Component,12-130-027,04/20/2012,2747625,2747625,100000,322937,20,0,0,20,18.20,20,0,0,20,18.20,2866415.00,04/30/2015,20,0,0,20,04/30/2017,POINT (-91.404448 42.854572)
"Iowa Corn Processors, L.C.",Carroll,Glidden,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-037,06/21/2013,14832000,14832000,0,407550,2,0,0,2,17.04,2,0,0,2,17.04,17725971.00,06/30/2016,2,0,0,2,06/30/2018,POINT (-94.725929 42.056795)
"Hospers, City of",Sioux,Hospers,Closed Contracts - Successful,Grow Iowa Value Fund Infrastructure Component,11-IFC-005,06/16/2011,2200000,2200000,750000,0,0,0,0,0,0.00,0,0,0,0,0.00,2940585.00,06/30/2014,0,0,0,0,06/30/2016,POINT (-95.906604 43.072777)
"Coralville, City of & University of Iowa Research Park",Johnson,Coralville,Closed Contracts - Successful,Grow Iowa Value Fund Infrastructure Component,12-IFC-001,10/20/2011,3914818,3914818,331854,0,0,0,0,0,0.00,0,0,0,0,20.92,8650887.00,10/31/2014,0,0,0,0,10/31/2016,POINT (-91.577768 41.672677)
John Deere Waterloo Product Engineering Center,Black Hawk,Cedar Falls,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-040,05/16/2014,39824000,27737500,0,1321909,0,29,0,29,18.84,0,29,0,29,18.84,43212171.00,05/31/2017,0,29,0,29,05/31/2019,POINT (-92.4534 42.537809)
Nestle Purina PetCare Company,Scott,Davenport,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-018,10/20/2011,19147000,19147000,0,500000,0,10,0,10,22.54,0,10,0,10,22.54,20347183.00,10/31/2014,0,10,0,10,10/31/2016,POINT (-90.577036 41.523527)
"American Enterprise Mutual Holding Company, on Behalf of Itself and Its Affiliates",Polk,Des Moines,Closed Contracts - Partial,High Quality Jobs Program,14-HQJTC-042,07/18/2014,27200000,24500000,0,1380000,23,0,123,146,24.32,23,0,123,146,24.32,35291179.00,07/31/2017,6,0,0,6,07/31/2019,POINT (-93.620309 41.588822)
"Simonsen Iron Works, Inc",Clay,Spencer,Bankruptcy,High Quality Jobs Program,15-HQJDF-028,12/19/2014,3000000,3000000,300000,0,7,6,21,34,18.49,7,6,21,34,18.49,3000000.00,12/31/2017,0,0,0,0,12/31/2019,POINT (-95.144697 43.141367)
"8040 Holdings, Inc.",Polk,Clive,Closed Contracts - Full,High Quality Jobs Program,16-HQJTC-018,10/16/2015,17750000,5150000,0,278500,3,0,0,3,26.72,3,0,0,3,26.72,0.00,10/31/2018,0,0,0,0,10/31/2020,POINT (-93.774947 41.607094)
Perishable Distributors of Iowa (PDI),Polk,Ankeny,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-020,12/16/2010,7371438,7371438,0,87999,0,179,200,379,20.80,0,179,0,179,20.80,7674921.00,12/31/2013,0,179,0,179,12/31/2015,POINT (-93.600414 41.72508)
"Brownells, Inc.",Poweshiek,Grinnell,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-007,08/17/2012,15524000,13780000,0,1112260,41,0,0,41,18.12,41,0,0,41,18.12,18873178.00,08/31/2015,38,0,0,38,08/31/2017,POINT (-92.727362 41.743267)
Absolute Energy.LLC,Mitchell,St. Ansgar,Closed Contracts - Successful,Enterprise Zone,06-EZ-024,03/16/2006,157821750,125476750,400000,13930328,29,0,0,29,15.95,38,0,0,38,15.95,166608032.00,03/31/2009,38,0,0,38,03/31/2019,POINT (-92.919105 43.378505)
Heartland Financial USA Inc.,Dubuque,Dubuque,Closed Contracts - Successful,100% Component,12-100-010,06/22/2012,2137991,1720000,160000,96670,32,0,0,32,15.78,32,0,18,50,15.78,2559016.00,06/30/2015,32,0,0,32,06/30/2017,POINT (-90.667314 42.505512)
Genesis Systems Group,Scott,Davenport,Closed Contracts - Successful,Enterprise Zone,14-EZ-004,11/22/2013,4145000,4145000,0,162600,9,2,0,11,15.48,9,2,0,11,15.48,4187100.00,11/30/2016,9,2,0,11,11/30/2018,POINT (-90.577036 41.523527)
"AMPC, Inc. d/b/a Proliant Meat Ingredients",Shelby,Harlan,Closed Contracts - Successful,Enterprise Zone,12-EZ-004,07/21/2011,9550000,9550000,0,508530,10,3,0,13,12.34,10,3,0,13,12.34,11200431.00,07/31/2014,10,3,0,13,07/31/2016,POINT (-95.325555 41.645668)
"The Lauridsen Group, Inc.",Polk,Ankeny,Closed Contracts - Partial,High Quality Jobs Program,12-HQJP-005,08/18/2011,8700000,8700000,0,673500,16,0,0,16,23.75,16,0,0,16,23.75,10052108.00,02/28/2015,15,0,0,15,02/28/2017,POINT (-93.600414 41.72508)
Rail.One USA Corp,Clinton,Clinton,Closed Contracts - Partial,Enterprise Zone,13-EZ-014,03/22/2013,22020000,19907500,0,2157500,62,0,0,62,14.03,62,0,0,62,14.03,22108112.00,03/31/2016,42,0,0,42,03/31/2018,POINT (-90.190747 41.838935)
The Schebler Company,Scott,Riverdale,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-035,02/17/2012,1521945,1516945,0,28370,3,1,0,4,22.54,3,1,0,4,22.54,1418520.00,02/28/2015,3,1,0,4,02/28/2017,POINT (-90.464346 41.539386)
Heartland Energy Solutions,Ringgold,Mount Ayr,Closed Contracts - Full,Economic Development Set-Aside,08-ED-012,12/20/2007,1780000,1105000,310000,0,72,0,34,106,12.19,72,0,34,106,12.19,6678080.00,06/30/2013,18,0,0,18,06/30/2015,POINT (-94.233197 40.711076)
HH Ventures LLC,Linn,Hiawatha,Closed Contracts - Successful,Entrepreneurial Component,11-EC-003,09/16/2010,430000,0,150000,0,9,1,0,10,16.77,9,0,0,9,16.77,664370.00,09/30/2013,9,0,0,9,09/30/2015,POINT (-91.671159 42.03703)
"Cambridge Investment Group, Inc.",Jefferson,Fairfield,Closed Contracts - Successful,Enterprise Zone,05-EZ-025,03/17/2005,5685000,5303000,150000,697875,48,0,45,93,11.36,48,0,45,93,11.36,5658000.00,03/30/2008,48,0,45,93,03/30/2018,POINT (-91.965049 41.006634)
"Martin Brothers Distributing Company, Inc.",Black Hawk,Cedar Falls,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-040,03/26/2012,5983508,5983508,0,298815,2,0,10,12,21.04,2,0,10,12,21.04,6517578.00,03/31/2015,2,0,10,12,03/31/2017,POINT (-92.4534 42.537809)
"IML Containers Iowa, Inc.",Plymouth,Le Mars,Closed Contracts - Partial,High Quality Jobs Program,11-HQJP-032,04/21/2011,11034910,11034910,0,268895,1,0,28,29,20.42,1,0,28,29,20.42,10096223.00,03/31/2015,1,0,13,14,03/31/2017,POINT (-96.173749 42.788178)
"Carmi Flavor & Fragrance Co., Inc.",Bremer,Waverly,Closed Contracts - Full,100% Component,10-100-002,08/20/2009,1182500,1175000,150000,0,33,9,42,84,14.92,33,9,42,84,14.92,0.00,02/28/2013,0,0,0,0,02/28/2015,POINT (-92.475648 42.725714)
"Kemin Industries, Inc.",Polk,Des Moines,Closed Contracts - Successful,130% Component,11-130-011,10/21/2010,125495106,66695106,1000000,5335640,58,0,40,98,23.20,79,0,60,139,23.20,195375784.00,10/31/2017,79,0,0,79,10/31/2019,POINT (-93.620309 41.588822)
MediRevv. Inc.,Johnson,Coralville,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-044,06/21/2013,3825000,2425000,0,150000,16,0,40,56,20.51,16,0,40,56,20.51,4665961.00,06/30/2016,16,0,40,56,06/30/2018,POINT (-91.577768 41.672677)
"DENSO Manufacturing Michigan, Inc.",Polk,Urbandale,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-010,10/19/2012,1193996,521112,0,34512,7,0,0,7,23.12,4,0,0,4,23.12,1271071.00,10/31/2015,4,0,0,4,10/31/2017,POINT (-93.736522 41.630343)
"Hydrite Chemical Company, Inc.",Black Hawk,Waterloo,Closed Contracts - Successful,Enterprise Zone,13-EZ-008,12/27/2012,15368221,15318221,0,412956,9,1,0,10,13.69,10,1,0,11,13.69,15503438.00,12/30/2015,10,1,0,11,12/30/2017,POINT (-92.34364 42.493469)
"Kemin Industries, Inc.",Polk,Des Moines,Closed Contracts - Successful,Enterprise Zone,05-EZ-023,02/17/2005,17785350,0,550000,1197650,40,0,0,40,0.00,24,0,0,24,0.00,31596378.00,02/28/2009,24,0,0,24,02/28/2019,POINT (-93.620309 41.588822)
Microsoft Corporation,Dallas,West Des Moines,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-015,09/15/2011,84752337,84752337,0,131242,4,0,6,10,22.94,4,0,6,10,22.94,118548470.00,09/30/2014,4,0,6,10,09/30/2016,POINT (-93.713031 41.575505)
Sukup Manufacturing Company,Franklin,Sheffield,Closed Contracts - Successful,Enterprise Zone,06-EZ-017,12/15/2005,2500000,2150000,0,238142,10,0,0,10,11.84,10,0,0,10,11.84,3456868.78,12/31/2008,10,0,0,10,12/31/2018,POINT (-93.215301 42.893286)
"Geneseo Communications Services, Inc.",Scott,Bettendorf,Closed Contracts - Partial,130% Component,12-130-028,04/20/2012,15200000,14600000,96000,498900,12,0,1,13,22.54,6,0,1,7,22.54,19984991.00,04/30/2016,4,0,0,4,04/30/2018,POINT (-90.507281 41.526274)
Catalyst International,Sioux,Sioux Center,Closed Contracts - Full,Value-added Agricultural Products and Process Financial Assistance Program,04-VAP-012,02/19/2004,1000000,1000000,125000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,02/19/2008,0,0,0,0,02/26/2010,POINT (-96.175468 43.075969)
Phoenix Closures,Scott,Davenport,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-016,11/18/2010,738000,738000,0,29520,0,43,8,51,22.07,0,43,8,51,22.07,879951.00,11/30/2013,0,43,0,43,11/30/2015,POINT (-90.577036 41.523527)
"UNVERFERTH MANUFACTURING CO., INC.",Butler,Shell Rock,Closed Contracts - Full,High Quality Jobs Program,13-HQJDF-009,09/21/2012,8920000,5920000,200000,400000,75,0,0,75,18.36,75,0,0,75,18.36,0.00,09/30/2015,0,0,0,0,09/30/2017,POINT (-92.583205 42.710068)
"Metal Tech Industries, Inc. and Life Holding Company, LLC",Hardin,Iowa Falls,Closed Contracts - Successful,100% Component,12-100-007,01/20/2012,4372166,4075877,45000,408209,4,4,5,13,15.38,4,4,5,13,15.38,4372166.00,03/31/2017,4,4,5,13,03/31/2019,POINT (-93.265461 42.519636)
Little Sioux Corn Processors LP,Cherokee,Marcus,Closed Contracts - Successful,Enterprise Zone,07-EZ-013,09/21/2006,70000000,67556000,0,3627800,10,0,0,10,11.22,10,0,0,10,11.22,73110319.00,09/30/2009,10,0,0,10,09/30/2019,POINT (-95.799373 42.824193)
Monsanto Company,Muscatine,Muscatine,Closed Contracts - Partial,High Quality Jobs Program,15-HQJTC-016,11/21/2014,74641000,73990000,0,4155680,51,0,0,51,17.06,51,0,0,51,17.06,96170212.00,11/30/2017,45,0,0,45,11/30/2019,POINT (-91.044853 41.420448)
Cargill Kitchen Solutions,Cerro Gordo,Mason City,Closed Contracts - Successful,Enterprise Zone,11-EZ-030,05/19/2011,12450000,12400000,0,562600,20,0,0,20,13.62,20,0,0,20,13.62,10489882.00,05/31/2014,20,0,0,20,05/31/2016,POINT (-93.201042 43.153621)
"Revstone Casting Fairfield (RCF), LLC",Jefferson,Fairfield,Closed Contracts - Successful,Enterprise Zone,11-EZ-023,02/17/2011,1515000,1515000,0,347317,52,0,0,52,12.79,52,0,0,52,12.79,1519766.00,05/31/2014,52,0,0,52,05/31/2016,POINT (-91.965049 41.006634)
"ELPLAST America, Inc.",Linn,Marion,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-003,09/20/2013,5860000,5850000,0,217250,3,0,7,10,22.93,4,0,6,10,22.93,8099868.00,09/30/2016,4,0,6,10,09/30/2018,POINT (-91.587223 42.036098)
